#####################################################################
# Alchemist log file - simulation started at: 2026-01-30T11:21+0000 #
#####################################################################
#
# seed = 18.0, connection_range_percentage = 0.2, variability = 10.0, history_length = 1200
#
# The columns have the following meaning: 
# time wandering[mean] defending[mean] solving[mean] wait[mean] attacked[max] alarm[max] historySize[mean] disagreementRate 
0.0 NaN NaN NaN NaN 0.0 0.0 NaN 0.0
0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0
1.0067713218599703 0.0 0.0 0.0 1.0 0.0 0.0 2.45 0.0
2.004391170829926 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
3.0067713218599703 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
4.006150511329663 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
5.00677132185997 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
6.00677132185997 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
7.00677132185997 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
8.00677132185997 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
9.00677132185997 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
10.00677132185997 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
11.00677132185997 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
12.003769051108359 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
13.00677132185997 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
14.000682276020164 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
15.00677132185997 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
16.006771321859972 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
17.006771321859972 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
18.006771321859972 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
19.00081326842487 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
20.006771321859972 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
