#####################################################################
# Alchemist log file - simulation started at: 2026-01-30T10:10+0000 #
#####################################################################
#
# seed = 70.0, connection_range_percentage = 0.25, variability = 7.0, history_length = 1200
#
# The columns have the following meaning: 
# time wandering[mean] defending[mean] solving[mean] wait[mean] attacked[max] alarm[max] historySize[mean] disagreementRate 
0.0 NaN NaN NaN NaN 0.0 0.0 NaN 0.0
0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0
1.009811936495471 0.0 0.0 0.0 1.0 0.0 0.0 2.15 0.0
2.013709124324506 0.0 0.0 0.0 1.0 0.0 0.0 2.975 0.0
3.001039273912367 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
4.040959778026831 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
5.067009194566959 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
6.039071314969679 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
7.004437023967088 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
8.021903862357071 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
9.014429118893315 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
10.038068303692125 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
11.06047873643645 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
12.0187281376251 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
13.002455807935707 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
14.065506607169686 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
15.067009194566959 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
16.00692831771331 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
17.011423315182256 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
18.01850096554114 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
19.02414134858486 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
20.01522594020209 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
