#####################################################################
# Alchemist log file - simulation started at: 2026-01-28T15:02+0000 #
#####################################################################
#
# seed = 7.0, connection_range_percentage = 0.1, variability = 7.0, history_length = 1200
#
# The columns have the following meaning: 
# time wandering[mean] defending[mean] solving[mean] wait[mean] attacked[max] alarm[max] historySize[mean] disagreementRate 
0.0 NaN NaN NaN NaN 0.0 0.0 NaN 0.0
0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0
1.0080802511496205 0.0 0.0 0.0 1.0 0.0 0.0 2.275 0.0
2.0080802511496207 0.0 0.0 0.0 1.0 0.0 0.0 2.975 0.0
3.0080802511496207 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
4.005069261974589 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
5.008080251149621 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
6.008080251149621 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
7.008080251149621 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
8.008080251149622 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
9.008080251149622 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
10.008080251149622 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
11.007813827190054 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
12.008080251149622 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
13.008080251149622 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
14.008080251149622 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
15.008080251149622 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
16.00808025114962 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
17.00808025114962 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
18.00032266852213 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
19.006362281502234 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
20.00808025114962 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
