#####################################################################
# Alchemist log file - simulation started at: 2026-05-19T09:24+0000 #
#####################################################################
#
# seed = 33.0, connection_range_percentage = 0.25, variability = 10.0, history_length = 1200, drones = 80
#
# The columns have the following meaning: 
# time wandering[mean] defending[mean] solving[mean] wait[mean] attacked[max] alarm[max] historySize[mean] disagreementRate 
0.0 NaN NaN NaN NaN 0.0 0.0 NaN 0.0
0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0
1.0049026054971637 0.0 0.0 0.0 1.0 0.0 0.0 2.3625 0.0
2.0000715342316244 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
3.0196672067101082 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
4.001334679250288 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
5.000246478018114 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
6.011019649022359 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
7.006272141612611 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
8.005362597165448 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
9.006283245526065 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
10.021707776544902 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
11.019055182608588 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
12.016287359642318 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
13.018140964684852 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
14.002856812292048 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
15.005883682144475 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
16.01849181074126 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
17.005580605904317 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
18.002097134885474 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
19.013804074914656 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
20.008544032336154 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
