#####################################################################
# Alchemist log file - simulation started at: 2026-01-25T08:31+0000 #
#####################################################################
#
# seed = 40.0, connection_range_percentage = 0.3, variability = 5.0, history_length = 6000
#
# The columns have the following meaning: 
# time wandering[mean] defending[mean] solving[mean] wait[mean] attacked[max] alarm[max] historySize[mean] disagreementRate 
0.0 NaN NaN NaN NaN 0.0 0.0 NaN 0.0
0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0
1.008936346345839 0.0 0.0 0.0 1.0 0.0 0.0 2.325 0.0
2.0076892241750994 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
3.0650824365670397 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
4.00783559737644 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
5.000476572435971 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
6.004790876749141 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
7.005445747744115 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
8.058657955517116 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
9.059530223193995 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
10.013306340031768 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
11.065082436567039 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
12.021616337257733 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
13.019377903012014 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
14.065082436567039 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
15.00223922150505 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
16.039988983892147 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
17.00083466950662 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
18.009233446348787 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
19.0238087245357 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
20.001347306141824 0.0 0.0 0.0 1.0 0.0 0.0 3.0 0.0
